"Project Title","Principal Investigator","Co-Principal Investigators","Related to Project"
"RCN: Using metamodels to enable transdisciplinary research for the study of dynamic biological systems under global change","Robert Lacy","H Akcakaya"
"NSF/AID: Inventory of Plant Resources of West Kalimantan (Indonesian Borneo)","John Burley","James Beach, Peter Stevens"
"Collaborative Research: SGER: Research and education software requirements for an environmental sensor network at the OTS La Selva Biological Station","James Beach","None"
"MRI-R2: Development of an Instrument for Information Science and Computing in Neuroscience","Malek Adjouadi","William Gaillard, Armando Barreto, Prasanna Jayakar, Naphtali Rishe"
"MRI: Development of an Integrated, Geospatial Analytics Research Instrument","Naphtali Rishe","Shu-Ching Chen, Evangelos Christidis, Ming Zhao, Tao Li"
"CSR---CSI. An Adaptive Programming Framework for Data and Event Driven Computation","Beth Plale","Dennis Gannon"
"CAREER: Dual Effects Of Intraspecific Competition On Pathogen Dynamics In A Songbird: From Endocrinology to Epidemiology","Dana Hawley","None"
"Integrating Marine Ecology Data for Scientific Analysis and Resource Management: A Community Database Prototype","Omer Reichman","Matthew Jones, Mark Schildhauer"
"SI2-SSI: CyberGIS Software Integration for Sustained Geospatial Innovation","Shaowen Wang","Luc Anselin, Timothy Nyerges, Nancy Wilkins-Diehr, Budhendra Bhaduri"
"Digitization TCN: Collaborative Research: Digitizing Fossils to Enable New Syntheses in Biogeography - Creating a PALEONICHES-TCN","Jonathan Hendricks","Una Farrell, James Beach, Brenda Hunda, Roger Portell, Kendall Hauer"
"Collaborative Research: Extending Lifemapper to Enable Macroecological Research","James Beach","None"
"Collaborative Research: Integrated Arctic Data Management Services (IADS) to Support Arctic Research","James Moore","Mohan Ramamurthy, Mark Parsons, Florence Fetterer, Don Middleton"
"III: Large: Collaborative Research: Moving Objects Databases for Exploration of Virtual and Real Environments","Naphtali Rishe","NoneBo Xu, Tao Li, Maria Cruz"
"Collaborative Research: Science of Search: Data Search, Analytics, and Architectures Center (DSAAC)","Naphtali Rishe","Shu-Ching Chen, Evangelos Christidis, Tao Li, Dennis Gannon"
"Collaborative Research - Development and innovation of the Barrow Area Information Database (BAID): A cyberinfrastructure that supports arctic science, outreach and education","Craig Tweedie","Allison Gaylord"
"Arctic Observing Networks: Collaborative Research: Sustaining and amplifying the ITEX AON through automation and increased interdisciplinarity of observations","Craig Tweedie","NoneWilliam Gould"
"ITR: Semantic Association Identification and Knowledge Discovery for National Security Applications (IDM Program)","Amit Sheth","Krzysztof Kochut, Budak Arpinar"
"RIA: High Performance Input/Output System for Databases","Naphtali Rishe","None"
"Spatial Population Games in Epidemiology and Ecology","Timothy Reluga","None"
"LTER: Biome-level Constraints on Population, Community, and Ecosystem Responses to Climate Fluctuation, Sevilleta LTER II","James Gosz","Ann Evans, Donald Duszynski, James Brown, Terry Yates"
"CEO:P--A Prototype System for Multi-Disciplinary Shared Cyberinfrastructure: Chesapeake Bay Environmental Observatory (CBEO)","Kevin Sellner","Michael Piasecki, William Kemp, William Ball, Dominic DiToro"
"Doctoral Dissertation Improvement: Body Size and Mortality in Post-Medieval England","Sharon DeWitte","Gail Hughes-Morey"
"EID: Challenges and Opportunities in the Ecology of Marine Infectious Diseases","Rachel Noble","James Porter"
"US-Costa Rica PASI: Expanding the frontier in tropical ecology through embedded sensors; Costa Rica 2010","Elizabeth Losos","James Beach, Philip Rundel, Steven Oberbauer"
"The medieval Black Death: analysis of the demographic, health, and social consequences of a historic emerging disease","Sharon DeWitte","None"
"INTEROP ECO-OP: Employing Cyber Infrastructure Data Technologies to Facilitate IEA for Climate Impacts in NE &amp; CA LME&apos;s (#3 &amp; #7)","Peter Fox","Andrew Maffei"
